time_slot,E_approach,N_approach,S_approach,hour
0,16.548387096774192,24.870967741935484,19.14516129032258,0
1,17.580645161290324,25.387096774193548,17.129032258064516,0
2,15.903225806451612,23.70967741935484,16.370967741935484,0
3,14.096774193548388,21.225806451612904,14.790322580645162,0
4,12.612903225806452,19.532258064516128,14.048387096774194,1
5,11.67741935483871,17.387096774193548,11.629032258064516,1
6,9.483870967741936,15.193548387096774,11.225806451612904,1
7,8.580645161290322,11.935483870967742,10.209677419354838,1
8,7.967741935483871,12.564516129032258,9.435483870967742,2
9,7.241935483870968,11.951612903225806,8.53225806451613,2
10,6.241935483870968,10.435483870967742,7.661290322580645,2
11,6.629032258064516,10.758064516129032,8.096774193548388,2
12,5.951612903225806,10.241935483870968,8.209677419354838,3
13,6.241935483870968,11.516129032258064,8.951612903225806,3
14,6.806451612903226,11.370967741935484,8.935483870967742,3
15,6.258064516129032,12.451612903225806,8.096774193548388,3
16,7.838709677419355,13.67741935483871,8.774193548387096,4
17,7.209677419354839,17.258064516129032,9.935483870967742,4
18,8.32258064516129,21.032258064516128,12.370967741935484,4
19,12.209677419354838,26.20967741935484,16.20967741935484,4
20,14.53225806451613,30.387096774193548,19.370967741935484,5
21,19.338709677419356,39.854838709677416,27.43548387096774,5
22,37.37096774193548,52.45161290322581,36.806451612903224,5
23,61.983870967741936,60.37096774193548,57.854838709677416,5
24,106.24193548387096,68.2258064516129,99.20967741935483,6
25,143.06451612903226,82.11290322580645,138.75806451612902,6
26,188.0483870967742,104.0,142.8548387096774,6
27,223.48387096774192,114.04838709677419,141.7741935483871,6
28,232.0483870967742,124.16129032258064,135.88709677419354,7
29,220.51612903225808,132.06451612903226,134.4516129032258,7
30,205.08064516129033,134.01612903225808,137.66129032258064,7
31,183.88709677419354,137.96774193548387,136.11290322580646,7
32,169.74193548387098,134.16129032258064,128.90322580645162,8
33,166.03225806451613,123.03225806451613,125.08064516129032,8
34,152.09677419354838,124.16129032258064,117.01612903225806,8
35,142.74193548387098,125.48387096774194,121.98387096774194,8
36,135.3709677419355,126.20967741935483,128.43548387096774,9
37,133.7741935483871,126.09677419354838,129.2258064516129,9
38,130.5483870967742,128.06451612903226,128.90322580645162,9
39,134.59677419354838,132.88709677419354,133.88709677419354,9
40,136.69354838709677,137.8709677419355,131.83870967741936,10
41,128.19354838709677,138.25806451612902,135.29032258064515,10
42,134.1290322580645,140.32258064516128,126.24193548387096,10
43,140.30645161290323,143.16129032258064,137.0,10
44,135.51612903225808,140.58064516129033,132.29032258064515,11
45,134.96774193548387,146.0,135.1290322580645,11
46,138.7258064516129,147.9516129032258,137.2741935483871,11
47,137.43548387096774,149.2741935483871,135.88709677419354,11
48,140.48387096774192,149.7741935483871,136.48387096774192,12
49,145.90322580645162,149.48387096774192,139.7258064516129,12
50,144.83870967741936,157.25806451612902,142.46774193548387,12
51,143.8709677419355,156.61290322580646,142.3548387096774,12
52,138.09677419354838,158.59677419354838,137.20967741935485,13
53,142.29032258064515,167.0483870967742,135.03225806451613,13
54,145.01612903225808,168.4516129032258,140.11290322580646,13
55,145.70967741935485,167.90322580645162,138.67741935483872,13
56,145.17741935483872,162.70967741935485,141.90322580645162,14
57,144.1290322580645,159.59677419354838,143.61290322580646,14
58,143.5,159.5,144.5,14
59,142.20967741935485,164.40322580645162,137.96774193548387,14
60,139.90322580645162,159.46774193548387,138.03225806451613,15
61,139.46774193548387,166.38709677419354,137.11290322580646,15
62,133.75806451612902,172.30645161290323,131.2741935483871,15
63,134.58064516129033,168.2741935483871,138.46774193548387,15
64,131.3709677419355,171.0483870967742,133.98387096774192,16
65,129.80645161290323,176.32258064516128,123.7741935483871,16
66,133.6290322580645,186.08064516129033,121.95161290322581,16
67,135.69354838709677,192.69354838709677,118.41935483870968,16
68,139.80645161290323,190.38709677419354,118.79032258064517,17
69,146.96774193548387,194.17741935483872,112.85483870967742,17
70,138.90322580645162,196.93548387096774,117.58064516129032,17
71,127.74193548387096,194.58064516129033,115.80645161290323,17
72,118.74193548387096,178.48387096774192,109.91935483870968,18
73,115.85483870967742,160.83870967741936,111.30645161290323,18
74,98.20967741935483,152.30645161290323,106.29032258064517,18
75,91.91935483870968,136.6290322580645,103.75806451612904,18
76,84.46774193548387,131.8709677419355,98.83870967741936,19
77,80.1774193548387,129.33870967741936,97.06451612903226,19
78,73.33870967741936,117.79032258064517,92.51612903225806,19
79,65.01612903225806,112.62903225806451,86.74193548387096,19
80,56.82258064516129,100.2741935483871,81.03225806451613,20
81,51.53225806451613,95.2741935483871,70.87096774193549,20
82,45.11290322580645,89.41935483870968,67.48387096774194,20
83,40.306451612903224,82.03225806451613,59.87096774193548,20
84,38.306451612903224,74.5,55.725806451612904,21
85,33.693548387096776,65.74193548387096,52.32258064516129,21
86,29.774193548387096,64.46774193548387,49.935483870967744,21
87,28.112903225806452,56.25806451612903,44.354838709677416,21
88,25.887096774193548,53.24193548387097,40.693548387096776,22
89,23.612903225806452,48.854838709677416,35.725806451612904,22
90,18.306451612903224,41.83870967741935,31.967741935483872,22
91,15.0,38.725806451612904,28.532258064516128,22
92,14.64516129032258,33.225806451612904,26.56451612903226,23
93,13.274193548387096,31.532258064516128,23.629032258064516,23
94,10.290322580645162,26.887096774193548,18.70967741935484,23
95,8.612903225806452,24.080645161290324,16.451612903225808,23
